School,Department,Course
College of Arts and Sciences,Near Eastern Languages and Civilization,Chagatai (CHGTAI)
College of Arts and Sciences,Near Eastern Languages and Civilization,Kazakh (KAZAKH)
College of Arts and Sciences,Near Eastern Languages and Civilization,Kyrgyz (KYRGYZ)
College of Arts and Sciences,Near Eastern Languages and Civilization,Uygur (UYGUR)
College of Arts and Sciences,Near Eastern Languages and Civilization,Uzbek (UZBEK)
College of Arts and Sciences,Near Eastern Languages and Civilization,Turkish (TKISH)
College of Arts and Sciences,Near Eastern Languages and Civilization,Ugaritic (UGARIT)
College of Arts and Sciences,,Neurobiology (NBIO)
College of Arts and Sciences,Philosophy,Ethics (ETHICS)
College of Arts and Sciences,Philosophy,Philosophy (PHIL) 
College of Arts and Sciences,Philosophy,Values in Society (VALUES)
College of Arts and Sciences,,Physics (PHYS) 
College of Arts and Sciences,,Political Science (POL S) 
College of Arts and Sciences,Psychology,Applied Child and Adolescent Psychology (PSYCAP)
College of Arts and Sciences,Psychology,Clinical Psychology (PSYCLN)
College of Arts and Sciences,Psychology,Psychology (PSYCH) 
College of Arts and Sciences,Scandinavian Studies,Danish (DANISH)
College of Arts and Sciences,Scandinavian Studies,Estonian (ESTO)
College of Arts and Sciences,Scandinavian Studies,Finnish (FINN)
College of Arts and Sciences,Scandinavian Studies,Latvian (LATV)
College of Arts and Sciences,Scandinavian Studies,Lithuanian (LITH)
College of Arts and Sciences,Scandinavian Studies,Norwegian (NORW)
College of Arts and Sciences,Scandinavian Studies,Scandinavian (SCAND)
College of Arts and Sciences,Scandinavian Studies,Swedish (SWED)
College of Arts and Sciences,Slavic Languages and Literatures,Bosnian/Croatian/Montenegrin/Serbian (BCMS)
College of Arts and Sciences,Slavic Languages and Literatures,Bulgarian (BULGR)
College of Arts and Sciences,Slavic Languages and Literatures,Czech (CZECH)
College of Arts and Sciences,Slavic Languages and Literatures,Polish (POLSH)
College of Arts and Sciences,Slavic Languages and Literatures,Russian (RUSS)
College of Arts and Sciences,Slavic Languages and Literatures,Slavic Languages and Literatures (SLAVIC)
College of Arts and Sciences,Slavic Languages and Literatures,Slovenian (SLVN)
College of Arts and Sciences,Slavic Languages and Literatures,Ukrainian (UKR)
College of Arts and Sciences,,Sociology (SOC)
College of Arts and Sciences,Spanish and Portuguese Studies,Portuguese (PORT)
College of Arts and Sciences,Spanish and Portuguese Studies,Spanish (SPAN)
College of Arts and Sciences,Spanish and Portuguese Studies,Spanish Linguistics (SPLING)
College of Arts and Sciences,,Speech and Hearing Sciences (SPHSC)
College of Arts and Sciences,,Statistics (STAT)
College of Arts and Sciences,,Women Studies (WOMEN) 
College of Arts and Sciences,,Zoology -- See Biology (BIOL)
Built Environments,Built Environments,Architecture (ARCH)
,Built Environments,Built Environment (B E) 
,Built Environments,Construction Management (CM)
,Built Environments,Landscape Architecture (L ARCH)
,Built Environments,Real Estate (R E)
,Urban Planning,"Community, Environment, and Planning (CEP) "
,Urban Planning,Infrastructure Planning and Management (IPM)
,Urban Planning,Strategic Planning for Critical Infrastructures (SPCI) 
,Urban Planning,Urban Planning (URBDP) 
Business,,Accounting (ACCTG)
,Business Administration,Administration (ADMIN)
,Business Administration,Business Administration (B A)
,Business Administration,Business Administration Research Methods (BA RM)
,Business Administration,Business Communications (B CMU)
,Business Administration,Business Economics (B ECON)
,Business Administration,Entrepreneurship (ENTRE)
,Business Administration,Finance (FIN)
,Business Administration,Information Systems (I S)
,Business Administration,Information Systems Master of Science (MSIS)
,Business Administration,International Business (I BUS)
,Business Administration,Management (MGMT)
,Business Administration,Marketing (MKTG)
,Business Administration,Operations Management (OPMGT)
,Business Administration,Quantitative Methods (QMETH)
,Business Administration,Supply Chain Management (SCM)
Dentistry,Dentistry,Dental Clinical (DENTCL)
