Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),A A 210 A,ENGR STATICS,"GOLINGO, RAYMOND",268,28,42,60,44,43,19,10,9,2,1,,1,9,3
2015-16,20154 (Autumn 2015),A A 310 A,ORB SPACE FLIGHT,"HERMANSON, JAMES C.",73,10,17,15,10,11,8,1,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A A 311 A,ATM FLIGHT MECH,"KNOWLEN, CARL",72,9,24,21,14,3,,,,,,,,1,3.4
2015-16,20154 (Autumn 2015),A A 320 A,AEROSPACE INSTR,"BRUCKNER, ADAM P",73,13,21,9,13,11,3,2,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A A 402 A,FLUID MECHANICS,"FERRANTE, ANTONINO",34,4,16,4,8,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),A A 405 A,AEROSPACE PLASMAS,"SHUMLAK, URI",30,3,5,3,11,5,3,,,,,,,,3.1
2015-16,20154 (Autumn 2015),A A 430 A,FINTE ELEMENT ANALYS,"DELEO, FRANCESCO",39,3,7,14,12,1,2,,,,,,,,3.2
2015-16,20154 (Autumn 2015),A A 447 A,CONT IN AEROSP,"HILL, KRISTI MORGANSEN",62,8,29,13,2,6,2,1,1,,,,,,3.3
2015-16,20154 (Autumn 2015),A A 461 A,ADV AIRBREATH PROPL,"HERMANSON, JAMES C.",30,3,7,11,3,3,2,1,,,,,,,3.3
2015-16,20154 (Autumn 2015),A A 470 A,SYSTEMS ENGINEERING,"MURPHY, SUSAN E.",15,2,12,1,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),A A 504 A,COMP FLUID MECH,"BREIDENTHAL, ROBERT E",17,6,7,2,2,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),A A 530 A,MECHANICS OF SOLIDS,"YANG, JINKYU",20,6,11,1,1,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),A E 501 B,ANALYTICAL METHODS,"LUM, CHRISTOPHER, W",34,1,8,15,9,,,,,,,,,1,3.3
2015-16,20154 (Autumn 2015),A E 529 B,AE TOPICS: FLUIDS,"STANLEY, STEVEN B.",17,2,6,1,4,2,1,,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A E 549 B,AE TOPICS: STRUC,"MUIR, ERIC R",14,2,8,2,1,,,1,,,,,,,3.5
2015-16,20154 (Autumn 2015),A E 559 B,AE TOPICS: COMPSTS,"LIN, KUEN Y",25,4,15,4,2,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),A S 101 A,FOUNDATION USAF I,"DALY, SEAN",20,12,5,1,1,,,,,,,,,1,3.8
2015-16,20154 (Autumn 2015),A S 101 B,FOUNDATION USAF I,"DALY, SEAN",20,12,3,1,3,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),A S 101 C,FOUNDATION USAF I,"DALY, SEAN",13,7,4,1,1,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),AAS 330 A,ASIAN AMER THEATER,"SUMIDA, STEPHEN H.",43,8,26,8,,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),AAS 360 A,CRIT FIL-AM HISTS,"BONUS, ENRIQUE C.",43,12,18,6,3,1,,,,,1,,2,,3.4
2015-16,20154 (Autumn 2015),AAS 370 A,JPN AM HIST CLTR,"KASHIMA, TETSUDEN",42,16,9,4,8,4,1,,,,,,,,3.5
2015-16,20154 (Autumn 2015),AAS 385 A,AAS RACE LAW JUSTCE,"NOMURA, GAIL M.",44,,18,17,7,1,,,,,,,1,,3.2
2015-16,20154 (Autumn 2015),AAS 395 A,POST VIET WAR AAS AM,"SO, CONNIE C.",27,5,12,1,2,5,,1,,,,,,1,3.4
2015-16,20154 (Autumn 2015),ACADEM 197 A,RESEARCH SEMINARS,"MOODY, WILLIAM J",39,12,16,3,4,3,,1,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 215 A,ACCTG & FIN REPRTNG,"DEMERJIAN, PETER R",154,31,22,16,10,20,9,17,18,1,,,1,9,2.9
2015-16,20154 (Autumn 2015),ACCTG 215 B,ACCTG & FIN REPRTNG,"DEMERJIAN, PETER R",157,36,24,11,15,17,14,16,12,,1,,2,9,2.9
2015-16,20154 (Autumn 2015),ACCTG 215 C,ACCTG & FIN REPRTNG,"WEBER, ELIZABETH",157,22,37,22,38,24,7,,1,,,,1,5,3.2
2015-16,20154 (Autumn 2015),ACCTG 225 A,MANAGERIAL ACCTG,"PAPERMAN, JOSEPH",156,10,20,29,32,28,15,8,4,2,1,,,7,2.9
2015-16,20154 (Autumn 2015),ACCTG 225 C,MANAGERIAL ACCTG,"PAPERMAN, JOSEPH",155,10,30,24,33,30,5,5,4,4,3,1,2,4,2.9
2015-16,20154 (Autumn 2015),ACCTG 301 A,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",39,4,11,,11,6,2,2,,,,,,3,3.1
2015-16,20154 (Autumn 2015),ACCTG 301 B,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",53,1,26,,20,6,,,,,,,,,3.3
2015-16,20154 (Autumn 2015),ACCTG 301 C,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",26,2,15,1,2,6,,,,,,,,,3.3
2015-16,20154 (Autumn 2015),ACCTG 302 A,INTERMED ACCTG II,"SHORES, D.",28,3,9,8,2,1,4,1,,,,,,,3.2
2015-16,20154 (Autumn 2015),ACCTG 303 A,INTERMED ACCTG III,"REICH, JANE M",45,3,12,6,6,7,6,2,1,,,,,2,3
2015-16,20154 (Autumn 2015),ACCTG 311 A,COST ACCOUNTING,"BAESLER, WENDY G.",55,8,14,17,14,1,,,,,,,,1,3.4
2015-16,20154 (Autumn 2015),ACCTG 320 A,ACCTG INFO SYSTEMS,"PHILLIPS, THOMAS",43,2,12,10,13,4,,,,,,,,2,3.2
2015-16,20154 (Autumn 2015),ACCTG 321 A,TAX EFF OF BUS DECS,"WEBER, ELIZABETH",60,7,14,15,14,4,4,,,,,,,2,3.2
2015-16,20154 (Autumn 2015),ACCTG 411 A,AUDIT STANDRDS PRIN,"PHILLIPS, THOMAS",55,3,20,21,9,1,,,,,,,,1,3.3
2015-16,20154 (Autumn 2015),ACCTG 440 A,ACC & FIN MGT DEC,"CHEN, CIAO-WEI",35,6,9,10,8,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 485 A,ADV FIN ACCTG,"REICH, JANE M",17,1,7,2,3,3,,1,,,,,,,3.2
2015-16,20154 (Autumn 2015),ACCTG 500 C,FINANCIAL ACCTG,"GE, WEILI",66,10,19,21,14,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 506 A,INTEN ACCT PRIN 1,"SHORES, D.",50,3,16,15,7,5,,,,,,,,4,3.3
2015-16,20154 (Autumn 2015),ACCTG 521 A,CASES INFO QUALITY,"PALMROSE, ZOE-VONNA",50,6,27,16,1,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 523 A,ADV FIN ANALYSIS,"PALMROSE, ZOE-VONNA",50,5,29,15,1,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 527 A,CMU IN PROF ACCTG,"DIMEO, MICHAEL",23,2,21,,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ACCTG 527 B,CMU IN PROF ACCTG,"DIMEO, MICHAEL",27,4,23,,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ACCTG 530 A,TAX ISSUES-PROPERTY,"RESLER, WILLIAM",55,5,25,19,6,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 533 A,TAX PROCEDURE,"JOHNSON, RICHARD L",54,4,37,11,2,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 534 A,CORPORATE TAXATION,"GRIMSTAD, GARY",55,8,21,17,9,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 539 A,TAX RESEARCH,"PITSCH, DONALD M",55,3,50,2,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ACCTG 540 A,CMU TAX PROF I,"WEBER, ELIZABETH",55,12,32,10,1,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ACCTG 579 A,SPEC TOPICS ACCTNG,"WEEDE, ROBERT",50,4,30,13,3,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),AES 150 A,AMER ETHNIC HISTORY,"SO, CONNIE C.",137,16,33,29,23,17,6,2,2,1,1,,2,5,3.1
2015-16,20154 (Autumn 2015),AES 150 B,AMER ETHNIC HISTORY,"SO, CONNIE C.",24,2,9,5,5,2,,,1,,,,,,3.3
2015-16,20154 (Autumn 2015),AES 380 A,RACE&USA PUBLIC POL,"PITTMAN, LASHAWNDA L.",44,12,6,5,2,7,4,1,1,,,1,2,3,3
2015-16,20154 (Autumn 2015),AFRAM 101 A,INTRO AF-AM STUDIES,"PITTMAN, LASHAWNDA L.",78,14,20,9,9,8,3,4,2,4,4,,1,,3
2015-16,20154 (Autumn 2015),AFRAM 101 B,INTRO AF-AM STUDIES,"PITTMAN, LASHAWNDA L.",19,5,8,1,1,2,1,,,,,,1,,3.3
2015-16,20154 (Autumn 2015),AFRAM 150 A,INTRO AF-AM HISTORY,"SCOTT, TERRY A.",23,8,9,2,,,1,2,,,,,,1,3.5
2015-16,20154 (Autumn 2015),AFRAM 334 A,CVL RTS & BLK POWER,"SCOTT, TERRY A.",29,10,16,3,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),AFRAM 337 A,MUS & SOC CHANGE,"RETMAN, SONNET H.",47,15,22,3,1,4,,,1,,,,,1,3.6
2015-16,20154 (Autumn 2015),AFRAM 358 A,LIT OF BLK AMERICA,"IBRAHIM, HABIBA",16,1,,4,5,,2,,1,,2,1,,,2.5
2015-16,20154 (Autumn 2015),AIS 102 A,SURV AM INDN STDYS,"TEUTON, CHRISTOPHER",118,17,38,20,12,11,1,2,7,2,1,1,3,3,3.1
2015-16,20154 (Autumn 2015),AIS 275 B,INTR INDGENOUS STDY,"LEFTHAND-BEGAY, CLARITA",16,9,4,,,1,1,,,,,,1,,3.4
2015-16,20154 (Autumn 2015),AIS 360 A,INDIANS IN CINEMA,"TOMHAVE, JONATHAN",34,19,8,,,3,1,1,,,,,,2,3.6
2015-16,20154 (Autumn 2015),AMATH 301 A,BEG SCI COMPUTING,"VOGL, CHRIS",137,78,18,8,6,7,2,4,4,1,,1,6,2,3.4
2015-16,20154 (Autumn 2015),AMATH 301 B,BEG SCI COMPUTING,"VOGL, CHRIS",131,50,26,17,7,13,4,2,2,,2,,3,5,3.3
2015-16,20154 (Autumn 2015),AMATH 301 C,BEG SCI COMPUTING,"VOGL, CHRIS",144,64,23,16,12,11,6,1,1,,,,4,6,3.4
2015-16,20154 (Autumn 2015),AMATH 351 A,DIFF EQUATIONS,"MAIA, PEDRO",60,12,17,9,2,,2,,2,3,1,,4,8,3
2015-16,20154 (Autumn 2015),AMATH 352 A,LINR ALG & NUM ANLY,"MOE, SCOTT A",70,11,18,19,6,5,2,,1,1,,,1,6,3.2
2015-16,20154 (Autumn 2015),AMATH 383 A,INTRODUCT MODELING,"QIAN, HONG",69,19,27,13,4,2,,,,,,,,4,3.6
2015-16,20154 (Autumn 2015),AMATH 401 A,VEC CAL COMPLEX VAR,"GREENBAUM, ANNE",54,5,11,7,17,2,4,2,,2,1,,,3,3
2015-16,20154 (Autumn 2015),AMATH 422 A,COMP MODELS BIOLOGY,"SHEA-BROWN, ERIC T.",23,5,6,4,1,1,,,,,,,1,5,3.4
2015-16,20154 (Autumn 2015),AMATH 481 A,SCIENTIFIC COMPTG,"SHLIZERMAN, ELI",30,1,22,1,3,1,,,,,1,,1,,3.4
2015-16,20154 (Autumn 2015),AMATH 501 A,VEC CAL COMPLEX VAR,"KOT, MARK",37,12,12,7,4,2,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),AMATH 501 B,VEC CAL COMPLEX VAR,"KOT, MARK",31,4,8,11,4,1,,,,,,,1,2,3.3
2015-16,20154 (Autumn 2015),AMATH 567 A,APPL COMPLEX ANYLS,"DECONINCK, BERNARD",14,2,7,3,1,1,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),AMATH 581 A,SCIENTIFIC COMPUTING,"SHLIZERMAN, ELI",46,11,29,3,3,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),AMATH 581 B,SCIENTIFIC COMPUTING,"SHLIZERMAN, ELI",28,5,19,2,,,1,,,,,,,1,3.6
2015-16,20154 (Autumn 2015),AMATH 584 A,APPL LINEAR ALGEBRA,"GREENBAUM, ANNE",35,7,5,9,8,1,,,,,,,,5,3.4
2015-16,20154 (Autumn 2015),AMATH 584 B,APPL LINEAR ALGEBRA,"GREENBAUM, ANNE",29,1,3,8,10,2,,1,,,,,1,3,3
2015-16,20154 (Autumn 2015),ANTH 101 A,EXPLORING SOC ANTHR,"PEREZ, MICHAEL V",176,124,35,7,2,2,,1,2,,1,,1,1,3.7
2015-16,20154 (Autumn 2015),ANTH 203 A,INTRO TO ANTH LING,"BILANIUK, LAADA M.",100,9,26,15,16,10,8,5,4,,1,1,1,4,3
2015-16,20154 (Autumn 2015),ANTH 208 A,THE CULTURE CONCEPT,"DENNISON, JEAN M",72,26,31,3,3,1,3,,,,,,1,4,3.6
2015-16,20154 (Autumn 2015),ANTH 215 A,MED ANTH/ GLBL HLTH,"VAN EIJK, MARIEKE",265,130,90,17,12,4,3,,2,1,1,,3,2,3.6
2015-16,20154 (Autumn 2015),ANTH 305 A,ANTHROP OF THE BODY,"JOHNSON, JESSICA A.",41,27,11,3,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ANTH 310 A,NATIVE NO AMER SOC,"DENNISON, JEAN M",32,5,14,5,1,1,1,1,1,,1,,1,1,3.2
2015-16,20154 (Autumn 2015),ANTH 321 A,COMP RELIGION,"GOVINDRAJAN, RADHIKA",18,12,2,1,,,,1,,,1,1,,,3.4
2015-16,20154 (Autumn 2015),ANTH 349 A,DANCE ETHNOGRAPHY,"MCMAINS, JULIET",15,4,6,1,2,,,,,,,,1,1,3.4
2015-16,20154 (Autumn 2015),ANTH 353 A,FEMINIST ANTH,"WELLAND, SASHA SU-LING",19,6,3,,2,2,,,2,,1,1,,2,2.9
2015-16,20154 (Autumn 2015),ANTH 356 A,VISUAL ANTHROPOLOGY,"JOHNSON, JESSICA A.",17,12,,1,1,,1,,,1,,,1,,3.4
2015-16,20154 (Autumn 2015),ANTH 359 A,LING ETHNO,"MESSINGER, SETH",26,1,23,1,,,,,,,,,1,,3.5
2015-16,20154 (Autumn 2015),ANTH 369 B,SPEC PROB IN ANTH,"BARKER, HOLLY M.",17,8,9,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ANTH 374 A,NARRATIV & MED ANTH,"TAYLOR, JANELLE S.",40,5,30,5,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ANTH 419 A,COL MEMRY & VIOLENC,"PEREZ, MICHAEL V",31,9,13,1,5,1,1,,1,,,,,,3.5
2015-16,20154 (Autumn 2015),ANTH 443 A,ANTH MODERN JAPAN,"ARAI, ANDREA GEVURTZ",14,1,12,,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ANTH 461 A,HISTORICAL ECOLOGY,"HARRELL, STEVAN",18,1,11,5,,,,,,,,,1,,3.4
2015-16,20154 (Autumn 2015),ANTH 474 A,SOC DIFF & MED KNLG,"VAN EIJK, MARIEKE",30,7,22,,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ANTH 475 A,PERSPECTS MED ANTH,"GRANT, JENNA M",29,6,9,9,3,,1,,1,,,,,,3.3
2015-16,20154 (Autumn 2015),ARAB 101 A,ELEMENTARY ARABIC,"BENSON, SUSAN E.",20,5,5,2,1,2,1,1,,,,,1,2,3.1
2015-16,20154 (Autumn 2015),ARAB 101 C,ELEMENTARY ARABIC,NIDA KIALI,18,7,4,2,2,3,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ARAB 401 A,ARAB MEDIA,"AHMED, KHALID A",13,3,1,3,2,3,1,,,,,,,,3.2
2015-16,20154 (Autumn 2015),ARCH 150 A,APPREC OF ARCH I,"ANDERSON, ALEX",655,121,385,50,33,21,10,9,8,2,,2,7,7,3.4
2015-16,20154 (Autumn 2015),ARCH 150 B,APPREC OF ARCH I,"ANDERSON, ALEX",20,7,10,1,1,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ARCH 151 A,APPREC OF ARCH II,"BORYS, ANNMARIE",48,4,15,8,8,6,3,1,,,,,1,2,3.1
2015-16,20154 (Autumn 2015),ARCH 200 A,ARCH DESIGN & REP 1,"SWAIN, JUDITH D.",111,,24,47,22,3,4,1,1,,,,2,7,3.1
2015-16,20154 (Autumn 2015),ARCH 251 A,NON-WESTERN ARCH,"SPRAGUE, TYLER S",69,45,6,4,2,6,1,1,1,1,,,1,1,3.5
2015-16,20154 (Autumn 2015),ARCH 300 A,INTRO ARCH DES I,"PENA, ROB",51,,17,18,12,2,1,,,,,,,1,3.2
2015-16,20154 (Autumn 2015),ARCH 310 A,ARCH DES DRWG I,"ANDERSON, ALEX",25,3,20,2,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ARCH 315 A,DESIGN DRAWING,"GREGGA, KAILIN",51,1,23,19,6,1,,,,,,,,1,3.4
2015-16,20154 (Autumn 2015),ARCH 320 A,INTRO STRUCTURES I,"SPRAGUE, TYLER S",105,14,63,17,4,3,,1,2,,,,,1,3.5
2015-16,20154 (Autumn 2015),ARCH 332 A,MAKING & MATERIALS,KIMO GRIGGS,26,11,14,1,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ARCH 350 A,ARCH ANCIENT WORLD,"IAROCCI, LOUISA M",115,1,21,24,32,20,3,4,2,,,,4,4,2.9
2015-16,20154 (Autumn 2015),ARCH 350 B,ARCH ANCIENT WORLD,"IAROCCI, LOUISA M",23,4,10,2,5,1,1,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ARCH 400 B,ARCH DESIGN IV,"STETTLER, DANIEL D",13,,7,4,2,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ARCH 400 C,ARCH DESIGN IV,"HUTCHISON, ROBERT",14,,6,8,,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ARCH 435 A,PRIN & PRAC ENV LTG,"MEEK, CHRISTOPHER",17,3,13,1,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ARCH 481 A,3D MODEL & RENDER,"JOHNSON, BRIAN R",18,6,8,2,2,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ARCH 487 A,FUNDAMENTALS OF BIM,"RISKE, CASEY J",23,2,11,7,2,,,,,,,,,1,3.5
2015-16,20154 (Autumn 2015),ARCH 527 A,INTRO DIG DES & FAB,"CONGDON, ROARK T",16,6,8,2,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ARCH 532 A,CONST MAT & ASSM II,"NICHOLLS, JIM",47,3,25,11,8,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ARCH 571 A,PRO PRACTICE,"SUTTON, SHARON E.",23,,16,5,2,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ARCH 574 B,DESIGN & CONST LAW,"NYROP, KARIN",15,7,6,2,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ARCH 590 A,URB & PRESV ISSUES,"OCHSNER, JEFFREY K",44,,21,16,7,,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ARCHY 205 A,PRINCIPLES OF ARCHY,"SLOBODINA, NATASHA",58,26,15,6,4,3,2,1,,,,1,,,3.5
2015-16,20154 (Autumn 2015),ARCHY 481 A,ZOOARCHEAOLOGY,"GRAYSON, DONALD K",15,3,7,1,1,,1,1,1,,,,,,3.3
2015-16,20154 (Autumn 2015),ARCTIC 200 A,ARCTIC RELATIONS,"MONTGOMERY, SCOTT L.",38,10,27,,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ART 126 A,TOPICS STUDIO ART,"STEPHENSON, CULLEN",19,15,4,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ART 134 A,CONCEPTS 3-D ART,"SISCOE, BRANDON",19,1,18,,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ART 134 B,CONCEPTS 3-D ART,"SWAINE, MICHAEL EDWARD",17,6,8,1,,1,,,,,,,1,,3.4
2015-16,20154 (Autumn 2015),ART 140 A,BASIC PHOTO,"BENT, ZACKERY R.",20,10,6,1,2,,1,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART 190 A,INTRO TO DRAWING,"ROBERTSON, BRYAN A",22,15,5,,1,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ART 190 B,INTRO TO DRAWING,"DUNN, BENJAMIN",19,9,10,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ART 190 C,INTRO TO DRAWING,"O'TOOLE, HELEN J.",19,5,14,,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ART 190 D,INTRO TO DRAWING,"HURLEY, DENZIL H",19,2,15,1,,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART 190 E,INTRO TO DRAWING,"HAPP, JONATHAN A",17,16,1,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ART 227 A,INTRO TO SURFACE,"FREEMAN, JULIA E.",17,15,1,,,,,,1,,,,,,3.8
2015-16,20154 (Autumn 2015),ART 240 A,INT PHOTOMEDIA I,"GARVENS, ELLEN J",25,1,20,3,,,,,,,,,,1,3.6
2015-16,20154 (Autumn 2015),ART 245 A,CONCPTS PRINTMAKING,"SCHEIER, S.",17,11,3,1,,1,,,,,,,1,,3.5
2015-16,20154 (Autumn 2015),ART 260 A,INTRO TO ART PRACT,"TIHANYI, TIMEA",63,7,19,22,11,1,,,1,,,,1,1,3.3
2015-16,20154 (Autumn 2015),ART 272 A,INTRO 3D4M SCULPT,"GALE-SCHRECK, BENJAMIN",15,9,4,,,,,,,1,,1,,,3.5
2015-16,20154 (Autumn 2015),ART 272 B,INTRO 3D4M SCULPT,"SISCOE, BRANDON",13,2,10,,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ART 273 A,INTRO SCULPTURE II,"MCNEEL, AMIE L.",13,4,4,3,1,,,,,,,,1,,3.3
2015-16,20154 (Autumn 2015),ART 290 A,BEG DRAWING FIGURE,"O'TOOLE, HELEN J.",21,5,14,1,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ART 290 B,BEG DRAWING FIGURE,"LIN, ZHI",21,7,12,1,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ART 292 A,BEGINNING PAINTING,"GOVEDARE, PHILIP",20,8,10,,,,,,,,,,2,,3.4
2015-16,20154 (Autumn 2015),ART 292 B,BEGINNING PAINTING,"BRODY, DAVID",18,3,11,1,2,,1,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ART 339 A,PHOTOGRAPHY,"BAUGHMAN, PAUL A",20,1,13,4,1,1,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ART 340 A,ADVANCED PHOTOMEDIA,"JAMISON, AARON FLINT",15,3,11,1,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART 350 A,PRINTMKG SPEC PROJ,"SCHEIER, S.",17,12,1,,,,1,,,,,,1,2,3.6
2015-16,20154 (Autumn 2015),ART 360 A,TOPICS STUDIO ART,"GOLDSMITH, LAYNE",35,10,22,3,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ART 390 A,INTERMED DRAWING,"GOVEDARE, PHILIP",20,3,16,,,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),ART 400 A,IVA SENIOR STUDIO,"COWIE, CLAIRE M.",16,12,4,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ART 490 A,ADV DRAWING,"HURLEY, DENZIL H",19,10,6,,,,,,,,,,,3,3.8
2015-16,20154 (Autumn 2015),ART 494 A,SR SEM PAINT-DRAW,"BRODY, DAVID",15,6,8,1,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ART H 201 A,SURV WEST ART-ANC,"LEVIN-RICHARDSON, SARAH",61,27,17,3,4,3,1,1,1,,2,,2,,3.4
2015-16,20154 (Autumn 2015),ART H 205 A,SURVEY TRIBAL ART,"BRAVMANN, RENE A",22,1,4,5,4,6,1,,,,,,,1,3.1
2015-16,20154 (Autumn 2015),ART H 212 A,CHINESE ART,"WANG, HAICHENG",60,17,22,7,4,6,3,1,,,,,,,3.4
2015-16,20154 (Autumn 2015),ART H 290 A,HIST OF ARCHITECT,"CLAUSEN, MEREDITH L",57,5,20,15,7,4,3,1,1,,,,,1,3.2
2015-16,20154 (Autumn 2015),ART H 309 A,TOPICS IN ART HIST,"DI LODOVICO, DANIELE",44,16,13,9,,,1,,1,1,,,2,1,3.3
2015-16,20154 (Autumn 2015),ART H 309 D,TOPICS IN ART HIST,"ROUNTHWAITE, VANESSA",27,3,12,3,5,1,,,,,,,1,2,3.3
2015-16,20154 (Autumn 2015),ART H 361 A,ITALIAN REN ART,"GIFFIN, ERIN C.",59,18,20,6,4,3,2,2,1,,1,,,2,3.4
2015-16,20154 (Autumn 2015),ART H 380 A,19TH & 20TH C ART,"RICE, KOLYA M.",60,11,22,11,2,6,2,1,3,1,,,,1,3.3
2015-16,20154 (Autumn 2015),ART H 384 A,AMERICAN ART,"CASTERAS, SUSAN P.",62,19,33,3,5,2,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART H 400 B,ART H AND CRITICISM,"DRPIC, IVAN",21,8,9,,2,2,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART H 400 C,ART H AND CRITICISM,"RICE, KOLYA M.",20,9,9,,,1,1,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ART H 484 A,TOPICS MODERN ART,"WIECZOREK, MAREK K.",24,11,7,1,1,,,,,,,,2,2,3.4
2015-16,20154 (Autumn 2015),ASIAN 411 A,BUDDHIST LITERATURE,"COX, COLLETT D.",32,5,11,5,2,4,1,1,1,1,,1,,,3.1
2015-16,20154 (Autumn 2015),ASL 101 A,ELEMENTARY ASL L,"FORSHAY, LANCE, A",23,15,1,3,,1,2,1,,,,,,,3.6
2015-16,20154 (Autumn 2015),ASL 101 B,ELEMENTARY ASL L,"WINTER, KRISTI G",27,19,4,1,1,1,1,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ASL 101 C,ELEMENTARY ASL L,"WINTER, KRISTI G",28,16,7,3,,1,1,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ASL 101 D,ELEMENTARY ASL L,"WINTER, KRISTI G",25,11,10,3,,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ASL 101 E,ELEMENTARY ASL L,"COOPER, MICHAEL A",24,19,1,3,1,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ASTBIO 115 A,INTRO ASTROBIOLOGY,"BARNES, RORY K",27,6,2,4,1,4,5,2,2,,,,,1,2.9
2015-16,20154 (Autumn 2015),ASTR 101 A,ASTRONOMY,"LARSON, ANA M.",289,58,102,51,25,26,8,7,1,,1,1,2,7,3.3
2015-16,20154 (Autumn 2015),ASTR 101 B,ASTRONOMY,"FRASER, OLIVER J.",84,8,16,19,12,6,3,1,1,,2,1,6,9,2.9
2015-16,20154 (Autumn 2015),ASTR 101 O,ASTRONOMY,"RETZLAFF, RORY",21,,5,3,5,1,1,3,2,,,,1,,2.7
2015-16,20154 (Autumn 2015),ASTR 102 A,INTRO TO ASTRONOMY,"DALCANTON, JULIANNE",48,12,10,7,5,5,1,2,1,1,2,1,1,,3
