Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),EDPSY 554 B,INTRO TO MTSS,"MISSALL, KRISTEN N",15,15,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),EDPSY 567 A,QUASI-EXPERIMENTAL,"SUN, MIN",14,10,3,,,,,,,,,,,1,3.9
2015-16,20154 (Autumn 2015),EDPSY 586 A,QUAL MTHD ED RSH 1,"NORDENGREN, CHASE",27,6,17,4,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),EDSPE 414 A,INTRO TO EC SPEC ED,"MEEKER, KATHLEEN ARTMAN",54,32,13,7,1,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDSPE 419 A,FAM&COM INFLNC CH,BRINDA JEGATHEESAN,92,62,21,4,1,,1,,1,,,,2,,3.7
2015-16,20154 (Autumn 2015),EDSPE 422 A,"DISABILITY, ED, ART","PECK, CHARLES A",39,19,7,5,1,5,,1,,,,,,1,3.5
2015-16,20154 (Autumn 2015),EDSPE 501 A,FOUNDATIONS SPEC ED,"ROBERTS, CARLY",27,25,2,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDSPE 510 A,BEHAV MEAS MGT CL,"SPAULDING, SCOTT",22,12,9,,,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDSPE 510 B,BEHAV MEAS MGT CL,"MIRAMONTEZ, SHANE K. H.",37,27,10,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDSPE 511 A,METH APPL BEH ANLYS,"SCHWARTZ, ILENE S",43,31,11,1,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDSPE 513 A,ASSESSMENT,"ROTHENBERGER, LAURA K.",22,20,2,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDSPE 520 E,SEM APPL SPEC ED,"IWASZUK, WENDY",30,30,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),EDSPE 527 A,ABA FOR TEACHERS,"ROSENBERG, NANCY E",24,13,8,1,1,,1,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDSPE 527 B,BEHAVIOR PRINCIPLES,"DAVIS, CAROL A.",30,24,5,1,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDSPE 527 C,ABA FOR TEACHERS,"ERICKSON, JEREMY J K",23,13,8,,2,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDSPE 530 A,READINGS IN ABA,"SCHWARTZ, ILENE S",23,23,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),EDSPE 563 A,FAM-PROF COLLAB,"MIRAMONTEZ, SHANE K. H.",27,23,4,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 515 A,INST PRAC & PERF 1,"KELLEY-PETERSEN, MEGAN M",17,,14,1,,,,,,,,,2,,3.1
